"ID","AREA","WOOD_FIREWOOD","LPG_GAS","ELECTRICITY","COW_DUNG","BIOGAS","KEROSENE","OTHER"
"1","Nepal","3398316","2949995","32574","191531","78406","3297","6722"
"2","Urban Municipalities","1759331","2536623","24724","93262","54435","1849","4475"
"3","Rural Municipalities","1638985","413372","7850","98269","23971","1448","2247"
"4","Mountain","349746","55411","709","558","2141","497","198"
"5","Hill","1528000","1387213","10701","364","15615","1991","1146"
"6","Tarai","1520570","1507371","21164","190609","60650","809","5378"
"7","Koshi","635672","490297","6177","40207","15682","468","2252"
"8","Madhesh","677732","331992","9468","126273","8252","303","2363"
"9","Bagmati","453987","1094195","8887","185","9342","755","566"
"10","Gandaki","311925","341017","1390","225","6548","315","212"
"11","Lumbini","612698","481748","4692","23686","17230","574","717"
"12","Karnali","300962","61727","353","510","1623","648","214"
"13","Sudur Paschim","405340","149019","1607","445","19729","234","398"
"14","Taplejung","24630","3006","32","5","51","21","31"
"15","Sankhuwasabha","32922","5907","61","3","171","41","13"
"16","Solukhumbu","21785","3945","400","1","56","51","1"
"17","Okhaldhunga","31285","2724","21","3","216","23","14"
"18","Khotang","38030","3351","43","4","241","42","9"
"19","Bhojpur","35608","2836","36","3","30","48","19"
"20","Dhankuta","27610","9790","34","1","146","12","23"
"21","Terhathum","18708","3016","7","0","82","24","8"
"22","Panchthar","36454","5683","36","4","190","25","45"
"23","Ilam","55179","14225","144","8","883","21","41"
"24","Jhapa","79554","153521","1202","3319","7124","21","278"
"25","Morang","103055","145362","1648","15928","4681","47","1439"
"26","Sunsari","74287","113767","1758","20907","1343","44","301"
"27","Udayapur","56565","23164","755","21","468","48","30"
"28","Saptari","80995","19082","1077","44715","672","24","251"
"29","Siraha","86870","33186","1113","26535","711","19","115"
"30","Dhanusa","87599","66313","1150","20768","579","28","654"
"31","Mahottari","88223","37219","717","10058","1275","42","352"
"32","Sarlahi","109720","44889","1264","6788","1758","24","381"
"33","Rautahat","85569","35869","1687","11640","1748","61","451"
"34","Bara","78615","45038","1607","4667","1066","55","131"
"35","Parsa","60141","50396","853","1102","443","50","28"
"36","Dolakha","41310","7802","24","0","337","10","10"
"37","Sindhupalchok","57582","13653","65","6","284","96","11"
"38","Rasuwa","7565","3517","17","0","25","3","4"
"39","Dhading","51745","30302","163","9","1246","122","35"
"40","Nuwakot","45752","22365","79","24","395","19","12"
"41","Kathmandu","10275","526931","4694","12","561","157","262"
"42","Bhaktapur","7969","99180","844","12","303","46","52"
"43","Lalitpur","13643","124188","1296","18","901","41","43"
"44","Kavrepalanchok","45299","44829","173","9","895","102","23"
"45","Ramechhap","40650","5555","40","3","171","37","10"
"46","Sindhuli","49839","18782","100","13","531","31","21"
"47","Makwanpur","49544","55042","300","9","639","63","23"
"48","Chitawan","32814","142049","1092","70","3054","28","60"
"49","Gorkha","45813","24460","126","31","1137","133","29"
"50","Manang","1058","454","1","0","30","1","3"
"51","Mustang","1209","1951","4","113","325","2","2"
"52","Myagdi","21135","7385","42","0","165","28","11"
"53","Kaski","25782","133540","389","4","619","34","48"
"54","Lamjung","22963","20199","126","1","756","11","18"
"55","Tanahu","39478","47647","208","22","1098","25","35"
"56","Nawalparasi (East)","33118","58965","252","45","1427","13","30"
"57","Syangja","45293","22643","106","5","843","21","12"
"58","Parbat","26029","9943","50","2","70","10","8"
"59","Baglung","50047","13830","86","2","78","37","16"
"60","Rukum (East)","11966","830","14","0","44","23","1"
"61","Rolpa","47442","4254","91","9","318","65","27"
"62","Pyuthan","49844","6102","68","8","126","33","14"
"63","Gulmi","57020","8695","47","7","280","38","13"
"64","Arghakhanchi","42782","5563","36","3","37","12","16"
"65","Palpa","42743","21402","123","29","586","88","20"
"66","Nawalparasi (West)","34168","46563","513","387","939","36","103"
"67","Rupandehi","52722","170714","871","11644","2068","34","118"
"68","Kapilbastu","62556","46122","865","10062","2034","30","192"
"69","Dang","85870","70703","531","1199","3706","131","126"
"70","Banke","58059","68269","587","231","1965","62","61"
"71","Bardiya","67526","32531","946","107","5127","22","26"
"72","Dolpa","8078","557","1","429","234","12","69"
"73","Mugu","11132","1132","14","0","83","65","4"
"74","Humla","11035","133","8","0","14","8","6"
"75","Jumla","22024","2308","13","0","23","44","10"
"76","Kalikot","24487","2050","10","1","120","91","11"
"77","Dailekh","48891","5215","89","20","185","175","19"
"78","Jajarkot","33970","3231","65","28","51","83","25"
"79","Rukum (West)","33031","4077","27","3","120","26","6"
"80","Salyan","49045","5424","17","2","104","63","17"
"81","Surkhet","59269","37600","109","27","689","81","47"
"82","Bajura","25751","2000","18","0","241","18","13"
"83","Bajhang","35321","2553","20","0","102","23","6"
"84","Darchula","23857","4443","21","0","45","11","4"
"85","Baitadi","47018","2281","26","2","65","10","5"
"86","Dadeldhura","27350","3688","27","3","80","14","10"
"87","Doti","40584","4313","30","2","126","44","41"
"88","Achham","46350","2928","34","1","140","76","38"
"89","Kailali","101657","80777","999","281","11902","26","230"
"90","Kanchanpur","57452","46036","432","156","7028","12","51"
