"ID","AREA","OWNED","RENTED","INSTITUTIONAL","OTHER","TOTAL"
"1","Nepal","6660841","5728586","850562","36809","44884"
"2","Urban Municipalities","4474699","3618763","794696","30274","30966"
"3","Rural Municipalities","2186142","2109823","55866","6535","13918"
"4","Mountain","409260","384495","20792","2017","1956"
"5","Hill","2945030","2319710","589600","17024","18696"
"6","Tarai","3306551","3024381","240170","17768","24232"
"7","Koshi","1190755","1067240","103586","8258","11671"
"8","Madhesh","1156383","1117188","26633","4753","7809"
"9","Bagmati","1567917","1084672","464512","10431","8302"
"10","Gandaki","661632","532518","116721","5216","7177"
"11","Lumbini","1141345","1036311","94336","4458","6240"
"12","Karnali","366037","344079","19393","1294","1271"
"13","Sudur Paschim","576772","546578","25381","2399","2414"
"14","Taplejung","27776","24732","2541","118","385"
"15","Sankhuwasabha","39118","35677","2796","185","460"
"16","Solukhumbu","26239","23586","2341","133","179"
"17","Okhaldhunga","34286","33643","522","28","93"
"18","Khotang","41720","39933","1474","84","229"
"19","Bhojpur","38580","36348","1543","201","488"
"20","Dhankuta","37616","33930","2985","443","258"
"21","Tehrathum","21845","19543","1742","149","411"
"22","Panchthar","42437","38392","3415","192","438"
"23","Ilam","70501","66500","3305","326","370"
"24","Jhapa","245019","210536","29546","1982","2955"
"25","Morang","272160","244835","23004","1633","2688"
"26","Sunsari","212407","182847","24883","2363","2314"
"27","Udayapur","81051","76738","3489","421","403"
"28","Saptari","146816","143628","1245","612","1331"
"29","Siraha","148549","144376","1904","702","1567"
"30","Dhanusha","177091","168439","6809","1050","793"
"31","Mahottari","137886","134153","2164","361","1208"
"32","Sarlahi","164824","161135","2306","430","953"
"33","Rautahat","137025","133911","1870","469","775"
"34","Bara","131179","126752","3344","332","751"
"35","Parsa","113013","104794","6991","797","431"
"36","Dolakha","49493","46889","2287","215","102"
"37","Sindhupalchok","71697","69450","1839","259","149"
"38","Rasuwa","11131","10752","243","90","46"
"39","Dhading","83622","77670","5353","306","293"
"40","Nuwakot","68646","65338","2624","275","409"
"41","Kathmandu","542892","234084","301509","4134","3165"
"42","Bhaktapur","108406","66722","40336","717","631"
"43","Lalitpur","140130","83289","54279","1412","1150"
"44","Kavrepalanchok","91330","81163","9418","430","319"
"45","Ramechhap","46466","44750","1509","107","100"
"46","Sindhuli","69317","65447","3470","179","221"
"47","Makwanpur","105620","95290","9317","582","431"
"48","Chitawan","179167","143828","32328","1725","1286"
"49","Gorkha","71729","66384","4821","228","296"
"50","Manang","1547","1046","319","113","69"
"51","Mustang","3606","2348","948","217","93"
"52","Myagdi","28766","24237","3633","298","598"
"53","Kaski","160416","99885","56334","1879","2318"
"54","Lamjung","44074","37877","5499","215","483"
"55","Tanahu","88513","73459","13509","645","900"
"56","Nawalparasi (East)","93850","79710","12465","835","840"
"57","Syangja","68923","60874","7169","295","585"
"58","Parbat","36112","30944","4556","226","386"
"59","Baglung","64096","55754","7468","265","609"
"60","Rukum (East)","12878","12418","365","20","75"
"61","Rolpa","52206","49381","2558","127","140"
"62","Pyuthan","56195","54002","1817","162","214"
"63","Gulmi","66100","61012","4410","246","432"
"64","Arghakhanchi","48449","45154","2873","136","286"
"65","Palpa","64991","56810","7436","362","383"
"66","Nawalparasi (West)","82709","77518","4256","260","675"
"67","Rupandehi","238171","198905","36707","1246","1313"
"68","Kapilbastu","121861","116028","4905","364","564"
"69","Dang","162266","145720","15244","602","700"
"70","Banke","129234","116189","11707","709","629"
"71","Bardiya","106285","103174","2058","224","829"
"72","Dolpa","9380","8766","503","74","37"
"73","Mugu","12430","11591","727","63","49"
"74","Humla","11204","10669","442","67","26"
"75","Jumla","24422","22911","1300","109","102"
"76","Kalikot","26770","25867","757","74","72"
"77","Dailekh","54594","52663","1624","114","193"
"78","Jajarkot","37453","35968","1310","106","69"
"79","Rukum (West)","37290","35149","1967","97","77"
"80","Salyan","54672","52675","1736","122","139"
"81","Surkhet","97822","87820","9027","468","507"
"82","Bajura","28041","26849","1065","90","37"
"83","Bajhang","38025","36801","1060","95","69"
"84","Darchula","28381","26561","1624","115","81"
"85","Baitadi","49407","48428","760","115","104"
"86","Dadeldhura","31172","29226","1544","249","153"
"87","Doti","45140","42919","1550","428","243"
"88","Achham","49567","47891","1344","235","97"
"89","Kailali","195872","181981","12218","622","1051"
"90","Kanchanpur","111167","105922","4216","450","579"
