"ID","AREA","ELECTRICITY","SOLAR","KEROSENE","BIOGAS","OTHER"
"1","Nepal","6139141","439282","38907","2032","41479"
"2","Urban Municipalities","4280136","153974","20440","1051","19098"
"3","Rural Municipalities","1859005","285308","18467","981","22381"
"4","Mountain","321058","81401","1572","186","5043"
"5","Hill","2617298","296449","8996","497","21790"
"6","Tarai","3200785","61432","28339","1349","14646"
"7","Koshi","1115686","59864","9765","295","5145"
"8","Madhesh","1132078","9511","10645","613","3536"
"9","Bagmati","1526035","36537","2203","115","3027"
"10","Gandaki","645780","12633","1505","105","1609"
"11","Lumbini","1069081","51425","11368","549","8922"
"12","Karnali","181676","175306","1775","145","7135"
"13","Sudur Paschim","468805","94006","1646","210","12105"
"14","Taplejung","24059","3135","311","9","262"
"15","Sankhuwasabha","34055","4225","356","18","464"
"16","Solukhumbu","24922","951","111","7","248"
"17","Okhaldhunga","26023","7817","167","5","274"
"18","Khotang","34876","5891","376","22","555"
"19","Bhojpur","27088","10368","343","10","771"
"20","Dhankuta","36596","594","274","7","145"
"21","Terhathum","20911","709","157","3","65"
"22","Panchthar","36735","5022","449","15","216"
"23","Ilam","66360","3118","667","20","336"
"24","Jhapa","241340","1779","1568","26","306"
"25","Morang","265453","3098","3087","72","450"
"26","Sunsari","209048","1608","1392","64","295"
"27","Udayapur","68220","11549","507","17","758"
"28","Saptari","144201","675","1496","74","370"
"29","Siraha","146345","939","883","75","307"
"30","Dhanusa","175354","576","859","48","254"
"31","Mahottari","135673","506","1194","61","452"
"32","Sarlahi","159544","2312","2035","115","818"
"33","Rautahat","133394","1135","1696","116","684"
"34","Bara","127198","2190","1306","73","412"
"35","Parsa","110369","1178","1176","51","239"
"36","Dolakha","48743","607","64","5","74"
"37","Sindhupalchok","69983","1488","143","6","77"
"38","Rasuwa","10835","186","50","4","56"
"39","Dhading","80063","2899","259","14","387"
"40","Nuwakot","67605","722","211","8","100"
"41","Kathmandu","541499","1144","86","13","150"
"42","Bhaktapur","107361","974","43","1","27"
"43","Lalitpur","138640","1372","54","12","52"
"44","Kavrepalanchok","87981","3146","101","7","95"
"45","Ramechhap","45714","542","97","6","107"
"46","Sindhuli","56585","11920","271","13","528"
"47","Makwanpur","98606","5982","500","12","520"
"48","Chitawan","172420","5555","324","14","854"
"49","Gorkha","69370","1935","187","16","221"
"50","Manang","1336","208","3","0","0"
"51","Mustang","2782","807","6","1","10"
"52","Myagdi","27348","992","151","12","263"
"53","Kaski","159406","746","150","11","103"
"54","Lamjung","43567","319","99","8","81"
"55","Tanahu","86061","1941","288","24","199"
"56","Nawalparasi (East)","89634","3788","218","5","205"
"57","Syangja","68289","457","122","6","49"
"58","Parbat","35759","220","67","11","55"
"59","Baglung","62228","1220","214","11","423"
"60","Rukum (East)","11364","1326","24","4","160"
"61","Rolpa","38056","13055","245","11","839"
"62","Pyuthan","53047","2269","170","8","701"
"63","Gulmi","64491","1180","230","10","189"
"64","Arghakhanchi","46343","1680","186","7","233"
"65","Palpa","59927","4751","175","26","112"
"66","Nawalparasi (West)","80023","1566","835","17","268"
"67","Rupandehi","233619","1243","2452","115","742"
"68","Kapilbastu","115743","1479","2856","136","1647"
"69","Dang","149500","10243","1011","61","1451"
"70","Banke","115289","10617","1850","125","1353"
"71","Bardiya","101679","2016","1334","29","1227"
"72","Dolpa","5502","3789","45","3","41"
"73","Mugu","4293","7817","101","3","216"
"74","Humla","6342","4368","23","83","388"
"75","Jumla","16693","7525","31","6","167"
"76","Kalikot","6494","19694","53","2","527"
"77","Dailekh","16427","36398","537","16","1216"
"78","Jajarkot","9471","26070","293","8","1611"
"79","Rukum (West)","24583","12034","130","4","539"
"80","Salyan","24775","28706","352","9","830"
"81","Surkhet","67096","28905","210","11","1600"
"82","Bajura","22921","4342","67","7","704"
"83","Bajhang","22074","14733","81","23","1114"
"84","Darchula","20024","7526","127","9","695"
"85","Baitadi","24636","23708","198","21","844"
"86","Dadeldhura","24996","5090","55","15","1016"
"87","Doti","32760","10395","220","21","1744"
"88","Achham","26435","19283","131","42","3676"
"89","Kailali","185995","8090","390","40","1357"
"90","Kanchanpur","108964","839","377","32","955"
