"ID","AREA","FLUSH_PUBLIC_SEWERAGE","FLUSH_SEPTIC_TANK","PIT_TOILET","PUBLIC_TOILET","WITHOUT_TOILET_FACILITY"
"1","Nepal","653710","3667780","2005480","32381","301490"
"2","Urban Municipalities","593401","2443115","1246732","20636","170815"
"3","Rural Municipalities","60309","1224665","758748","11745","130675"
"4","Mountain","3913","283359","112362","1394","8232"
"5","Hill","564382","1747104","581754","9041","42749"
"6","Tarai","85415","1637317","1311364","21946","250509"
"7","Koshi","26542","726577","394698","5362","37576"
"8","Madhesh","31159","414032","561660","10322","139210"
"9","Bagmati","512026","777874","253515","5031","19471"
"10","Gandaki","18456","501855","132898","2131","6292"
"11","Lumbini","45867","668730","357955","4763","64030"
"12","Karnali","8149","220226","126779","1287","9596"
"13","Sudur Paschim","11511","358486","177975","3485","25315"
"14","Taplejung","265","20166","6781","72","492"
"15","Sankhuwasabha","231","27874","10298","141","574"
"16","Solukhumbu","536","21897","3190","155","461"
"17","Okhaldhunga","1426","25548","6649","212","451"
"18","Khotang","1291","25715","13556","153","1005"
"19","Bhojpur","1060","22806","13861","110","743"
"20","Dhankuta","806","26821","9396","83","510"
"21","Tehrathum","587","16867","3987","37","367"
"22","Panchthar","1486","31937","8436","98","480"
"23","Ilam","2007","51571","15548","206","1169"
"24","Jhapa","2531","147698","87257","1042","6491"
"25","Morang","6782","147716","102574","1440","13648"
"26","Sunsari","5826","119287","77470","1219","8605"
"27","Udayapur","1708","40674","35695","394","2580"
"28","Saptari","3390","37798","84826","1983","18819"
"29","Siraha","3697","53035","76709","1419","13689"
"30","Dhanusa","4196","74968","74249","1357","22321"
"31","Mahottari","3310","40230","72151","947","21248"
"32","Sarlahi","3774","60360","84182","1509","14999"
"33","Rautahat","3697","48141","65402","1238","18547"
"34","Bara","4272","45326","68654","960","11967"
"35","Parsa","4823","54174","35487","909","17620"
"36","Dolakha","150","37021","11893","70","359"
"37","Sindhupalchok","864","59405","10602","212","614"
"38","Rasuwa","134","7485","3168","59","285"
"39","Dhading","1497","53142","26287","420","2276"
"40","Nuwakot","2131","50129","15036","278","1072"
"41","Kathmandu","362609","126861","51543","1305","574"
"42","Bhaktapur","58789","40633","8590","178","216"
"43","Lalitpur","63634","60740","15222","247","287"
"44","Kavrepalanchok","12875","60474","15749","337","1895"
"45","Ramechhap","1544","36783","7278","85","776"
"46","Sindhuli","806","51015","14964","274","2258"
"47","Makwanpur","3225","69575","25979","618","6223"
"48","Chitawan","3768","124611","47204","948","2636"
"49","Gorkha","3244","51858","15171","504","952"
"50","Manang","31","1453","27","8","28"
"51","Mustang","40","2657","656","40","213"
"52","Myagdi","777","22055","5381","96","457"
"53","Kaski","2635","143848","13110","369","454"
"54","Lamjung","1532","33432","8678","130","302"
"55","Tanahu","2041","63477","21848","260","887"
"56","Nawalparasi (East)","2532","67252","22673","239","1154"
"57","Syangja","2611","50330","15118","200","664"
"58","Parbat","1155","18229","16294","118","316"
"59","Baglung","1858","47264","13942","167","865"
"60","Rukum (East)","654","5955","5502","22","745"
"61","Rolpa","3359","37352","10323","99","1073"
"62","Pyuthan","2739","42334","10047","143","932"
"63","Gulmi","2427","56043","6819","110","701"
"64","Arghakhanchi","2432","40566","4846","76","529"
"65","Palpa","7323","50125","6938","131","474"
"66","Nawalparasi (West)","2932","29427","46188","524","3638"
"67","Rupandehi","7043","147514","73879","878","8857"
"68","Kapilbastu","4277","49653","40380","718","26833"
"69","Dang","4923","108992","43438","678","4235"
"70","Banke","3714","54009","58398","825","12288"
"71","Bardiya","4044","46760","51197","559","3725"
"72","Dolpa","185","4234","4132","78","751"
"73","Mugu","25","3117","8511","92","685"
"74","Humla","58","1592","8899","54","601"
"75","Jumla","332","12603","10744","94","649"
"76","Kalikot","159","21632","3959","92","928"
"77","Dailekh","1894","24056","27323","201","1120"
"78","Jajarkot","1320","20626","14337","104","1066"
"79","Rukum (West)","1036","21492","14079","143","540"
"80","Salyan","1436","38832","13238","83","1083"
"81","Surkhet","1704","72042","21557","346","2173"
"82","Bajura","426","18529","8539","89","458"
"83","Bajhang","126","24590","12409","95","805"
"84","Darchula","351","19104","8554","43","329"
"85","Baitadi","931","28335","19266","245","630"
"86","Dadeldhura","1167","24622","4785","82","516"
"87","Doti","1744","26636","15033","205","1522"
"88","Achham","882","36304","10343","172","1866"
"89","Kailali","4235","95818","79875","1934","14010"
"90","Kanchanpur","1649","84548","19171","620","5179"
